lat_deg,lat_min,lat_sec,n/s,lon_deg,lon_min,lon_sec,e/w,city,state
32,17,59,N,86,24,0,W,Montgomery,AL
58,22,11,N,134,34,48,W,Juneau,AK
33,25,48,N,112,1,11,W,Phoenix,AZ
35,13,12,N,92,22,47,W,Little Rock,AR
38,31,12,N,121,30,0,W,Sacramento,CA
39,45,0,N,104,52,12,W,Denver,CO
41,43,47,N,72,39,0,W,Hartford,CT
39,7,48,N,75,28,12,W,Dover,DE
30,22,47,N,84,22,12,W,Tallahassee,FL
33,39,0,N,84,25,11,W,Atlanta,GA
21,21,0,N,157,55,47,W,Honolulu,HI
43,34,11,N,116,13,12,W,Boise,ID
39,50,59,N,89,40,11,W,Springfield,IL
39,43,47,N,86,16,11,W,Indianapolis,IN
41,31,47,N,93,39,0,W,Des Moines,IA
39,4,11,N,95,37,12,W,Topeka,KS
38,2,59,N,85,0,0,W,Lexington,KY
30,31,48,N,91,9,0,W,Baton Rouge,LA
44,19,11,N,69,48,0,W,Augusta,ME
39,10,48,N,76,40,11,W,Baltimore,MD
42,22,11,N,71,1,47,W,Boston,MA
42,46,12,N,84,35,59,W,Lansing,MI
44,55,48,N,93,3,0,W,Saint Paul,MN
32,19,11,N,90,4,48,W,Jackson,MS
38,35,59,N,92,10,11,W,Jefferson,MO
46,35,59,N,112,0,0,W,Helena,MT
40,50,59,N,96,45,0,W,Lincoln,NE
39,30,0,N,119,46,47,W,Reno,NV
43,12,0,N,71,30,0,W,Concord,NH
40,16,47,N,74,49,11,W,Trenton,NJ
35,37,11,N,106,4,48,W,Santa Fe,NM
42,45,0,N,73,48,0,W,Albany,NY
35,52,11,N,78,46,47,W,Raleigh,NC
46,46,12,N,100,45,0,W,Bismarck,ND
40,0,0,N,82,52,47,W,Columbus,OH
35,24,0,N,97,35,59,W,Oklahoma City,OK
44,55,11,N,123,0,0,W,Salem,OR
40,22,11,N,77,25,11,W,Harrisburg,PA
41,43,47,N,71,25,48,W,Providence,RI
33,57,0,N,81,7,12,W,Columbia,SC
44,22,48,N,100,16,47,W,Pierre,SD
36,7,11,N,86,40,48,W,Nashville,TN
30,17,59,N,97,41,59,W,Austin,TX
40,46,47,N,111,58,12,W,Salt Lake City,UT
44,12,0,N,72,34,11,W,Montpelier,VT
37,30,0,N,77,19,48,W,Richmond,VA
46,58,12,N,122,54,0,W,Olympia,WA
38,22,11,N,81,35,59,W,Charleston,WV
43,7,48,N,89,19,48,W,Madison,WI
41,9,0,N,104,49,1,W,Cheyenne,WY
38,50,59,N,77,2,24,W,Washington,DC
